Path,Sample,ReferenceGenome,ProviderName,Subject,Outgroup
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED3o_I1991001,Ypestis_ASM906v1,2.MED3o_I1991001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,2.MED3p_CMCC107004,Ypestis_ASM906v1,2.MED3p_CMCC107004,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,3.ANT1a_7b,Ypestis_ASM906v1,3.ANT1a_7b,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,3.ANT1b_CMCC71001,Ypestis_ASM906v1,3.ANT1b_CMCC71001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,3.ANT1c_C1976001,Ypestis_ASM906v1,3.ANT1c_C1976001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,3.ANT1d_71021,Ypestis_ASM906v1,3.ANT1d_71021,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,3.ANT2a_MGJZ6,Ypestis_ASM906v1,3.ANT2a_MGJZ6,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,3.ANT2b_MGJZ7,Ypestis_ASM906v1,3.ANT2b_MGJZ7,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,3.ANT2c_MGJZ9,Ypestis_ASM906v1,3.ANT2c_MGJZ9,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,3.ANT2d_MGJZ11,Ypestis_ASM906v1,3.ANT2d_MGJZ11,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,3.ANT2e_MGJZ3,Ypestis_ASM906v1,3.ANT2e_MGJZ3,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,4.ANT1a_MGJZ12,Ypestis_ASM906v1,4.ANT1a_MGJZ12,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,6Post,Ypestis_ASM906v1,6Post,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,AE1175,Ypestis_ASM906v1,AE1175,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,ARS007,Ypestis_ASM906v1,ARS007,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,Barcelona_3031,Ypestis_ASM906v1,Barcelona_3031,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,BED024.A0102,Ypestis_ASM906v1,BED024.A0102,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,BED028.A0102,Ypestis_ASM906v1,BED028.A0102,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,BED030.A0102,Ypestis_ASM906v1,BED030.A0102,0,0
